Date,Port Kembla (Hmax),Port Kembla (Hs)
2021-06-26 00:00:00,1.880,0.985
2021-06-26 01:00:00,1.610,0.950
2021-06-26 02:00:00,1.490,0.899
2021-06-26 03:00:00,1.470,0.881
2021-06-26 04:00:00,1.610,0.888
2021-06-26 05:00:00,1.650,0.920
2021-06-26 06:00:00,1.520,0.825
2021-06-26 07:00:00,1.430,0.817
2021-06-26 08:00:00,1.800,0.863
2021-06-26 09:00:00,1.920,0.945
2021-06-26 10:00:00,1.710,0.960
2021-06-26 11:00:00,1.780,1.021
2021-06-26 12:00:00,1.830,0.962
2021-06-26 13:00:00,1.830,0.910
2021-06-26 14:00:00,1.770,0.900
2021-06-26 15:00:00,1.820,0.935
2021-06-26 16:00:00,1.650,0.899
2021-06-26 17:00:00,1.400,0.891
2021-06-26 18:00:00,1.650,0.859
2021-06-26 19:00:00,1.470,0.840
2021-06-26 20:00:00,1.500,0.831
2021-06-26 21:00:00,1.610,0.882
2021-06-26 22:00:00,1.640,0.821
2021-06-26 23:00:00,1.290,0.772
2021-06-27 00:00:00,1.620,0.855
2021-06-27 01:00:00,1.500,0.894
2021-06-27 02:00:00,1.630,0.926
2021-06-27 03:00:00,2.000,0.874
2021-06-27 04:00:00,1.750,0.903
2021-06-27 05:00:00,1.720,0.986
2021-06-27 06:00:00,1.780,0.934
2021-06-27 07:00:00,1.960,1.034
2021-06-27 08:00:00,1.620,1.000
2021-06-27 09:00:00,1.730,1.040
2021-06-27 10:00:00,1.810,1.130
2021-06-27 11:00:00,1.850,1.093
2021-06-27 12:00:00,1.930,1.051
2021-06-27 13:00:00,1.760,1.003
2021-06-27 14:00:00,1.700,1.040
2021-06-27 15:00:00,1.960,0.958
2021-06-27 16:00:00,1.730,0.969
2021-06-27 17:00:00,1.630,1.011
2021-06-27 18:00:00,1.690,1.023
2021-06-27 19:00:00,1.700,0.984
2021-06-27 20:00:00,1.540,0.961
2021-06-27 21:00:00,1.630,1.038
2021-06-27 22:00:00,1.830,1.015
2021-06-27 23:00:00,2.380,1.071
2021-06-28 00:00:00,1.810,1.049
2021-06-28 01:00:00,1.840,0.996
2021-06-28 02:00:00,1.670,0.985
2021-06-28 03:00:00,1.860,1.002
2021-06-28 04:00:00,1.670,0.964
2021-06-28 05:00:00,1.810,1.076
2021-06-28 06:00:00,1.850,1.063
2021-06-28 07:00:00,2.490,1.277
2021-06-28 08:00:00,2.840,1.467
2021-06-28 09:00:00,2.590,1.390
2021-06-28 10:00:00,2.640,1.461
2021-06-28 11:00:00,2.310,1.390
2021-06-28 12:00:00,2.690,1.437
2021-06-28 13:00:00,2.220,1.306
2021-06-28 14:00:00,2.320,1.263
2021-06-28 15:00:00,1.990,1.203
2021-06-28 16:00:00,1.920,1.148
2021-06-28 17:00:00,1.930,1.176
2021-06-28 18:00:00,2.060,1.166
2021-06-28 19:00:00,2.090,1.219
2021-06-28 20:00:00,2.010,1.194
2021-06-28 21:00:00,2.060,1.141
2021-06-28 22:00:00,1.750,1.134
2021-06-28 23:00:00,1.830,1.138
2021-06-29 00:00:00,2.830,1.331
2021-06-29 01:00:00,2.440,1.396
2021-06-29 02:00:00,2.480,1.451
2021-06-29 03:00:00,2.440,1.458
2021-06-29 04:00:00,2.780,1.519
2021-06-29 05:00:00,2.540,1.457
2021-06-29 06:00:00,2.570,1.548
2021-06-29 07:00:00,2.730,1.557
2021-06-29 08:00:00,3.030,1.621
2021-06-29 09:00:00,3.330,1.616
2021-06-29 10:00:00,3.010,1.718
2021-06-29 11:00:00,2.980,1.745
2021-06-29 12:00:00,2.790,1.673
2021-06-29 13:00:00,2.850,1.669
2021-06-29 14:00:00,2.840,1.613
2021-06-29 15:00:00,3.000,1.677
2021-06-29 16:00:00,2.660,1.615
2021-06-29 17:00:00,2.700,1.662
2021-06-29 18:00:00,3.250,1.752
2021-06-29 19:00:00,3.220,1.527
2021-06-29 20:00:00,2.650,1.544
2021-06-29 21:00:00,2.460,1.607
2021-06-29 22:00:00,2.850,1.553
2021-06-29 23:00:00,2.800,1.623
2021-06-30 00:00:00,2.770,1.674
2021-06-30 01:00:00,2.690,1.635
2021-06-30 02:00:00,2.890,1.648
2021-06-30 03:00:00,2.820,1.505
2021-06-30 04:00:00,2.710,1.557
2021-06-30 05:00:00,3.090,1.491
2021-06-30 06:00:00,2.540,1.502
2021-06-30 07:00:00,3.110,1.641
2021-06-30 08:00:00,2.850,1.542
2021-06-30 09:00:00,2.390,1.564
2021-06-30 10:00:00,3.010,1.664
2021-06-30 11:00:00,2.990,1.644
2021-06-30 12:00:00,2.660,1.547
2021-06-30 13:00:00,2.940,1.652
2021-06-30 14:00:00,2.990,1.593
2021-06-30 15:00:00,2.760,1.639
2021-06-30 16:00:00,2.980,1.674
2021-06-30 17:00:00,2.650,1.666
2021-06-30 18:00:00,2.870,1.737
2021-06-30 19:00:00,3.520,1.906
2021-06-30 20:00:00,3.670,1.986
2021-06-30 21:00:00,3.140,1.880
2021-06-30 22:00:00,3.220,1.858
2021-06-30 23:00:00,3.000,1.882
2021-07-01 00:00:00,3.330,1.991
2021-07-01 01:00:00,3.630,1.945
2021-07-01 02:00:00,3.630,1.921
2021-07-01 03:00:00,3.400,1.741
2021-07-01 04:00:00,3.340,1.855
2021-07-01 05:00:00,3.200,1.837
2021-07-01 06:00:00,3.530,1.908
2021-07-01 07:00:00,3.410,2.001
2021-07-01 08:00:00,3.610,2.100
2021-07-01 09:00:00,3.060,1.815
2021-07-01 10:00:00,3.170,1.789
2021-07-01 11:00:00,3.460,1.987
2021-07-01 12:00:00,3.570,2.054
2021-07-01 13:00:00,3.650,1.978
2021-07-01 14:00:00,3.130,1.999
2021-07-01 15:00:00,2.690,1.783
2021-07-01 16:00:00,2.740,1.834
2021-07-01 17:00:00,2.920,1.743
2021-07-01 18:00:00,2.780,1.666
2021-07-01 19:00:00,3.400,1.629
2021-07-01 20:00:00,3.270,1.681
2021-07-01 21:00:00,2.610,1.668
2021-07-01 22:00:00,3.380,1.703
2021-07-01 23:00:00,2.730,1.782
2021-07-02 00:00:00,3.470,1.971
2021-07-02 01:00:00,3.800,2.018
2021-07-02 02:00:00,3.830,1.991
2021-07-02 03:00:00,3.490,2.018
2021-07-02 04:00:00,3.270,1.956
2021-07-02 05:00:00,3.810,1.793
2021-07-02 06:00:00,3.070,1.785
2021-07-02 07:00:00,2.660,1.704
2021-07-02 08:00:00,2.580,1.611
2021-07-02 09:00:00,2.550,1.623
2021-07-02 10:00:00,2.580,1.644
2021-07-02 11:00:00,2.530,1.738
2021-07-02 12:00:00,2.670,1.661
2021-07-02 13:00:00,2.690,1.583
2021-07-02 14:00:00,2.590,1.508
2021-07-02 15:00:00,2.860,1.637
2021-07-02 16:00:00,3.210,1.855
2021-07-02 17:00:00,3.320,1.933
2021-07-02 18:00:00,2.640,1.777
2021-07-02 19:00:00,3.190,1.847
2021-07-02 20:00:00,2.920,1.829
2021-07-02 21:00:00,3.370,1.734
2021-07-02 22:00:00,2.850,1.850

